answerID,edad,escuela,genero,grado,loID,problema,respuesta,respuestaJ,tiempo,tipo
-LZejpNJil8_UAv7bH-r,9,"Hartford International School",1,4,3,3+12=?,15,15,6.6376152039,1
-LZejpQhec8ugPUJfZKb,6,"Hartford International School",1,1,3,7+13=?,20,16,6.1730670929,1
-LZejq7oLlcYqLeNHEMV,9,"Hartford International School",1,4,3,0+20=?,20,20,3.1019706726,1
-LZejrYCyz9zeakmFrGE,7,"Hartford International School",1,2,3,7+13=?,20,20,36.5764503479,1
-LZejsAt3RkMni6v3ktZ,6,"Hartford International School",1,1,3,3+12=?,15,12,11.2749328613,1
-LZejt1lchmkMf_0C_i0,6,"Hartford International School",1,1,3,0+20=?,20,20,3.5131568909,1
-LZejtQ8MQuhNxj5Ke8_,9,"Hartford International School",1,4,4,37+23=?,60,60,26.6422958374,1
-LZeju-3hBERoTKjUTUv,9,"Hartford International School",1,4,3,17+10=?,27,22,15.8257141113,1
-LZejuuIYUuc8ZuprKy6,7,"Hartford International School",1,2,3,3+12=?,15,15,13.7625684738,1
-LZejv1slnQ1YN8J69so,6,"Hartford International School",1,1,3,17+10=?,27,22,8.1970939636,1
-LZejvg6LjlKu5QqLo6Z,7,"Hartford International School",1,2,3,0+20=?,20,20,3.1870908737,1
-LZejwgICWm5g3GquIcb,9,"Hartford International School",1,4,3,15+10=?,25,25,11.0197067261,1
-LZejwsE82nrlMNtjV2n,6,"Hartford International School",1,1,3,15+10=?,25,25,7.5049419403,1
-LZejxqSh0hA_-_L38DP,6,"Hartford International School",1,1,4,25+10=?,35,42,1.6561732292,1
-LZek7DuhBKO_Fnt5VLM,10,"Hartford International School",1,4,0,2+2=?,4,4,4.1845164299,1
-LZek7feRzo07enZ6YXI,6,"Hartford International School",1,1,4,25+25=?,50,50,2.9943809509,1
