id,edad,escuela,genero,grado,loID,problema,respuesta,respuestaJ,tiempo,tipo,userID
-LaQ_5o6dkRoQC2Z5lKD,10,Hartford International School,0,5,2,6+11=?,17,17,2.5401649475097656,1,-LaQZxvCZUvf9J0938NI
-LaQ_64XRXarVRbeQ9_5,10,Hartford International School,1,5,0,6+4=?,10,10,4.729918479919434,1,-LaQ_17xY4fcr0IJ-wUl
-LaQ_6KllGeHTI8Kjmgw,11,Hartford International School,1,5,0,4+3=?,7,7,3.96125078201294,1,-LaQ_3Jf9TXvzTNREIvk
-LaQ_6Oh5r-3ZDfWC-50,11,Hartford International School,0,5,2,8+21=?,29,29,2.557682037353516,1,-LaQZtfxo0QA8Ij62dk1
-LaQ_6ROepm_0aDhctVm,10,Hartford International School,0,5,3,13+10=?,23,23,2.90786361694336,1,-LaQZurPwCF55Hiv18kH
-LaQ_6ZyfZ7IXSd3VvWI,10,Hartford International School,0,5,2,7+17=?,24,24,8.874916076660156,1,-LaQZvlOUvQcKzVILey9
-LaQ_6gRHcSnOBUdtI2a,10,Hartford International School,1,5,1,1+10=?,11,11,2.490180969238281,1,-LaQ_17xY4fcr0IJ-wUl
-LaQ_6vjTu23E589etF4,10,Hartford International School,0,5,0,1+3=?,4,3,3.867161512374878,1,-LaQ_5nnlLhsA3u6iDF5
-LaQ_707TmWkycjDoVlE,11,Hartford International School,0,5,2,3+30=?,33,33,2.523235321044922,1,-LaQZtfxo0QA8Ij62dk1
-LaQ_71QuK4EXnrtS55s,11,Hartford International School,1,5,0,3+1=?,4,4,2.8582429885864262,1,-LaQ_3Jf9TXvzTNREIvk
-LaQ_7HpsR2VvrYRgOw9,10,Hartford International School,1,5,1,3+10=?,13,13,2.456890106201172,1,-LaQ_17xY4fcr0IJ-wUl
