answerID;answerChangedCount;edad;escuela;genero;grado;loID;problema;respuesta;respuestaJ;tiempo;tipo;userID
¿-LcHIW5Q91mJLFziHaAB;1;7;ColegiolaEnsenanza;1;1;0;6+4?;10;-;12,89971828;1;¿-LcHIW5KzAlWz_SAo0Vx
¿-LcHIW5S7edaSelkAvDN;1;7;ColegiolaEnsenanza;1;1;1;1+10?;11;-;10,67547035;1;¿-LcHIW5KzAlWz_SAo0Vx
¿-LcHIW5Tqg1HM9R_dNGc;1;7;ColegiolaEnsenanza;1;1;1;3+10?;13;13;27,64029694;1;¿-LcHIW5KzAlWz_SAo0Vx
¿-LcHIW5VHsYRqyIpjHUE;1;7;ColegiolaEnsenanza;1;1;1;5+10?;15;15;36,68077469;1;¿-LcHIW5KzAlWz_SAo0Vx
¿-LcHIW5WwMJD85H6Et3o;1;7;ColegiolaEnsenanza;1;1;1;7+10?;17;-;31,72607803;1;¿-LcHIW5KzAlWz_SAo0Vx
¿-LcHIW5X7lTmi7kwXkWl;1;7;ColegiolaEnsenanza;1;1;1;0+10?;10;10;9,373858452;1;¿-LcHIW5KzAlWz_SAo0Vx
¿-LcHIW5ZES-TDQZff2Ye;1;7;ColegiolaEnsenanza;1;1;2;2+12?;14;-;21,15191078;1;¿-LcHIW5KzAlWz_SAo0Vx
¿-LcHIW5_iq_CSH7nswJj;1;7;ColegiolaEnsenanza;1;1;2;6+11?;17;-;64,77194214;1;¿-LcHIW5KzAlWz_SAo0Vx
¿-LcHIW5bEJ6gooYLLEqI;1;7;ColegiolaEnsenanza;1;1;2;7+17?;24;-;8,775054932;1;¿-LcHIW5KzAlWz_SAo0Vx
¿-LcHIW5c566R1E4UGTEN;1;7;ColegiolaEnsenanza;1;1;2;8+21?;29;-;31,77415466;1;¿-LcHIW5KzAlWz_SAo0Vx
¿-LcHIW5dZBLWXW6W1x9S;1;7;ColegiolaEnsenanza;1;1;2;3+30?;33;-;13,3453598;1;¿-LcHIW5KzAlWz_SAo0Vx
¿-LcHIW5ejBxjCO_Qt6hO;1;7;ColegiolaEnsenanza;1;1;3;13+10?;23;23;79,86928558;1;¿-LcHIW5KzAlWz_SAo0Vx
¿-LcHIW5fdrsChyxQMxLW;1;7;ColegiolaEnsenanza;1;1;3;22+10?;32;32;41,36470032;1;¿-LcHIW5KzAlWz_SAo0Vx
¿-LcHIW5jirw93NR5OkEX;1;7;ColegiolaEnsenanza;1;1;3;17+10?;27;-;13,34645844;1;¿-LcHIW5KzAlWz_SAo0Vx
¿-LcHIW5l7vKHYjItWyB0;1;7;ColegiolaEnsenanza;1;1;3;33+10?;43;-;1,618232727;1;¿-LcHIW5KzAlWz_SAo0Vx
-LcHIW5mHDH0I7-R9bxe;1;7;ColegiolaEnsenanza;1;1;3;40+10?;50;50;33,39251709;1;¿-LcHIW5KzAlWz_SAo0Vx
¿-LcHIW5nAS0psvkz92h1;1;7;ColegiolaEnsenanza;1;1;4;17+25?;42;-;12,39387321;1;¿-LcHIW5KzAlWz_SAo0Vx
¿-LcHIW5oYj8_2o-ccRHF;1;7;ColegiolaEnsenanza;1;1;4;25+25?;50;-;2,302059174;1;¿-LcHIW5KzAlWz_SAo0Vx
¿-LcHIW5p8wSE00Wh0X5z;1;7;ColegiolaEnsenanza;1;1;4;42+35?;77;77;20,06887054;1;¿-LcHIW5KzAlWz_SAo0Vx
¿-LcHIW5qN0vePCBe88bS;2;7;ColegiolaEnsenanza;1;1;4;46+37?;83;67;13,1404705;1;¿-LcHIW5KzAlWz_SAo0Vx
¿-LcHIW5rddQoSdsXWr_E;2;7;ColegiolaEnsenanza;1;1;4;61+39?;100;80;21,18597794;1;¿-LcHIW5KzAlWz_SAo0Vx
¿-LcHIW5siIZ4oMsSLpSY;1;8;ColegiolaEnsenanza;1;2;0;1+3?;4;4;28,01179695;1;¿-LcHIW5siIZ4oMsSLpSX
¿-LcHIW5tdDU9ACwP3tb9;1;8;ColegiolaEnsenanza;1;2;0;4+2?;6;6;11,6262188;1;¿-LcHIW5siIZ4oMsSLpSX
¿-LcHIW5uiNZCCYkVXO9f;1;8;ColegiolaEnsenanza;1;2;0;4+3?;7;7;8,841587067;1;¿-LcHIW5siIZ4oMsSLpSX
¿-LcHIW5vBc7t3k6Nl56G;1;8;ColegiolaEnsenanza;1;2;0;3+1?;4;4;22,0633316;1;¿-LcHIW5siIZ4oMsSLpSX
¿-LcHIW5wDC09VAdYLLxQ;1;8;ColegiolaEnsenanza;1;2;0;6+4?;10;10;16,4153614;1;¿-LcHIW5siIZ4oMsSLpSX
¿-LcHIW5wDC09VAdYLLxR;1;8;ColegiolaEnsenanza;1;2;1;1+10?;11;11;45,4698143;1;¿-LcHIW5siIZ4oMsSLpSX
¿-LcHIW5xUi18ZqEAqW2c;1;8;ColegiolaEnsenanza;1;2;1;3+10?;13;-;145,7569275;1;¿-LcHIW5siIZ4oMsSLpSX
¿-LcHIW5yJ2_Ne9-I7Tt_;1;8;ColegiolaEnsenanza;1;2;1;5+10?;15;-;99,28089142;1;¿-LcHIW5siIZ4oMsSLpSX
¿-LcHIW5zMZuvPWVxyWbq;1;8;ColegiolaEnsenanza;1;2;1;7+10?;17;17;29,74392319;1;¿-LcHIW5siIZ4oMsSLpSX
¿-LcHIW63l6RWIpnFXlsx;1;8;ColegiolaEnsenanza;1;2;1;0+10?;10;10;36,56007767;1;¿-LcHIW5siIZ4oMsSLpSX
¿-LcHIW64gjJhv3QTfkTe;2;8;ColegiolaEnsenanza;1;2;2;2+12?;14;14;27,29103088;1;¿-LcHIW5siIZ4oMsSLpSX
¿-LcHIW65vyC9clmMGsFk;1;8;ColegiolaEnsenanza;1;2;2;6+11?;17;-;30,40921402;1;¿-LcHIW5siIZ4oMsSLpSX
¿-LcHIW66RFH41ll9p4FU;1;8;ColegiolaEnsenanza;1;2;2;7+17?;24;-;36,00009918;1;¿-LcHIW5siIZ4oMsSLpSX
¿-LcHIW67DwbkPPxF3DQf;1;8;ColegiolaEnsenanza;1;2;2;8+21?;29;29;53,245121;1;¿-LcHIW5siIZ4oMsSLpSX
¿-LcHIW68Kc8HUtCtE6i8;1;8;ColegiolaEnsenanza;1;2;2;3+30?;33;33;12,25382423;1;¿-LcHIW5siIZ4oMsSLpSX
¿-LcHIW69fQkxH38RqaCw;1;8;ColegiolaEnsenanza;1;2;3;13+10?;23;23;33,96498489;1;¿-LcHIW5siIZ4oMsSLpSX
